episodeID, SubjectID
EID165,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID166,"[SUB9,SUB15,SUB17,SUB33,SUB38,SUB39,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID167,"[SUB14,SUB15,SUB27,SUB40,SUB41,SUB42,SUB50,SUB59,SUB60,SUB63]"
EID168,"[SUB15,SUB28,SUB33,SUB38,SUB39,SUB44,SUB53,SUB59,SUB60]"
EID169,"[SUB8,SUB14,SUB15,SUB16,SUB33,SUB38,SUB39,SUB44,SUB53,SUB59,SUB60]"
EID170,"[SUB15,SUB28,SUB49,SUB59,SUB60]"
EID171,"[SUB15,SUB17,SUB27,SUB28,SUB38,SUB39,SUB40,SUB42,SUB59,SUB60]"
EID172,"[SUB12,SUB14,SUB17,SUB22,SUB52,SUB59,SUB60,SUB66]"
EID173,"[SUB8,SUB14,SUB15,SUB16,SUB26,SUB27,SUB38,SUB39,SUB49,SUB50,SUB58,SUB59,SUB60]"
EID174,"[SUB12,SUB14,SUB15,SUB17,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60]"
EID175,"[SUB4,SUB14,SUB16,SUB28,SUB41,SUB43,SUB63]"
EID176,"[SUB15,SUB38,SUB49,SUB52,SUB53,SUB57,SUB59,SUB60,SUB66]"
EID177,"[SUB14,SUB16,SUB17,SUB27,SUB42,SUB44,SUB49,SUB59,SUB60]"
EID178,"[SUB12,SUB14,SUB17,SUB29,SUB33,SUB38,SUB39,SUB53,SUB55,SUB59,SUB62]"
EID179,"[SUB17,SUB28,SUB33,SUB59,SUB60]"
EID180,"[SUB14,SUB17,SUB26,SUB27,SUB28,SUB42,SUB59,SUB60]"
EID181,"[SUB14,SUB15,SUB16,SUB17,SUB28,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID182,"[SUB8,SUB12,SUB14,SUB15,SUB17,SUB52,SUB57,SUB59,SUB60,SUB66]"
EID183,"[SUB14,SUB16,SUB17,SUB28,SUB49,SUB59,SUB60]"
EID184,"[SUB3,SUB17,SUB22,SUB28,SUB44,SUB56,SUB59,SUB60]"
EID185,"[SUB9,SUB12,SUB14,SUB15,SUB27,SUB33,SUB38,SUB39,SUB42,SUB53,SUB56,SUB59,SUB60,SUB66]"
EID186,"[SUB4,SUB14,SUB16,SUB41,SUB50,SUB63]"
EID187,"[SUB9,SUB14,SUB15,SUB17,SUB28,SUB33,SUB56,SUB59,SUB60]"
EID188,"[SUB14,SUB16,SUB17,SUB28,SUB38,SUB39,SUB49,SUB50,SUB59,SUB60]"
EID189,"[SUB9,SUB14,SUB15,SUB16,SUB38,SUB39,SUB52,SUB53,SUB56,SUB59,SUB60,SUB66]"
EID190,"[SUB8,SUB17,SUB27,SUB28,SUB42,SUB44,SUB59,SUB60]"
EID191,"[SUB9,SUB17,SUB28,SUB44,SUB56,SUB59,SUB60]"
EID192,"[SUB17,SUB33,SUB50,SUB59,SUB60]"
EID193,"[SUB12,SUB14,SUB15,SUB28,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID194,"[SUB14,SUB15,SUB16,SUB17,SUB26,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID195,"[SUB9,SUB17,SUB28,SUB44,SUB56,SUB59,SUB60]"
EID196,"[SUB9,SUB14,SUB15,SUB17,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID197,"[SUB8,SUB14,SUB15,SUB16,SUB26,SUB52,SUB59,SUB60,SUB66]"
EID198,"[SUB8,SUB14,SUB15,SUB16,SUB20,SUB27,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID199,"[SUB29,SUB46]"
EID200,"[SUB15,SUB49,SUB50,SUB59,SUB60,SUB62]"
EID201,"[SUB4,SUB14,SUB41,SUB43,SUB63]"
EID202,"[SUB3,SUB15,SUB22,SUB27,SUB42,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID203,"[SUB14,SUB17,SUB29,SUB32,SUB33,SUB55,SUB59,SUB60]"
EID204,"[SUB8,SUB17,SUB49,SUB50,SUB59,SUB60,SUB62]"
EID205,"[SUB14,SUB16,SUB25,SUB28,SUB33,SUB38,SUB53]"
EID206,"[SUB17,SUB27,SUB42,SUB49,SUB50,SUB59,SUB60]"
EID207,"[SUB15,SUB26,SUB27,SUB42,SUB49,SUB59,SUB60]"
EID208,"[SUB9,SUB17,SUB22,SUB28,SUB44,SUB56,SUB59]"
EID209,"[SUB17,SUB28,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID210,"[SUB4,SUB14,SUB16,SUB41,SUB50,SUB57,SUB63]"
EID211,"[SUB9,SUB17,SUB25,SUB27,SUB33,SUB42,SUB56,SUB59]"
EID212,"[SUB14,SUB15,SUB17,SUB49,SUB52,SUB59,SUB60,SUB66]"
EID213,"[SUB15,SUB38,SUB39,SUB49,SUB50,SUB59,SUB60,SUB62]"
EID214,"[SUB1,SUB6,SUB7,SUB17,SUB27,SUB33,SUB56,SUB59,SUB60]"
EID215,"[SUB15,SUB17,SUB25,SUB28,SUB29,SUB32,SUB33,SUB55,SUB59,SUB60]"
EID216,"[SUB17,SUB36,SUB49,SUB50,SUB56,SUB59,SUB62]"
EID217,"[SUB17,SUB26,SUB44,SUB59,SUB60]"
EID218,"[SUB15,SUB28,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID219,"[SUB16,SUB25,SUB28,SUB29,SUB32,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID220,"[SUB8,SUB14,SUB15,SUB16,SUB27,SUB31,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID221,"[SUB8,SUB14,SUB16,SUB17,SUB28,SUB49,SUB59,SUB60]"
EID222,"[SUB9,SUB14,SUB15,SUB38,SUB39,SUB49,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID223,"[SUB17,SUB28,SUB49,SUB59,SUB60,SUB62]"
EID224,"[SUB17,SUB28,SUB33,SUB59,SUB60]"
EID225,"[SUB8,SUB15,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID226,"[SUB17,SUB26,SUB28,SUB49,SUB59,SUB60]"
EID227,"[SUB14,SUB16,SUB17,SUB27,SUB30,SUB33,SUB52,SUB59,SUB60,SUB66]"
EID228,"[SUB4,SUB12,SUB14,SUB41,SUB63]"
